Energy   Error
-0.0138189         0.00656528
-0.224932         0.00490328
-0.224932         0.00490328
-0.224932         0.00490328
-0.151358         0.00465876
-0.151358         0.00465876
-0.151358         0.00465876
-0.151358         0.00465876
-0.151358         0.00465876
-0.101506         0.00708616
0.111452         0.00755312
-0.018176         0.0211675
-0.018176         0.0211675
0.038599         0.00782604
0.038599         0.00782604
0.038599         0.00782604
-0.22171         0.00531818
-0.311462         0.00465547
-0.311462         0.00465547
-0.145184         0.00531361
-0.407804         0.00300622
-0.407804         0.00300622
-0.407804         0.00300622
-0.424448         0.00405029
-0.424448         0.00405029
-0.424448         0.00405029
-0.424448         0.00405029
-0.424448         0.00405029
-0.431219         0.00297266
-0.431219         0.00297266
-0.431219         0.00297266
-0.431219         0.00297266
-0.431219         0.00297266
-0.431219         0.00297266
-0.431219         0.00297266
-0.431219         0.00297266
-0.431219         0.00297266
-0.431219         0.00297266
-0.326435         0.00418191
-0.324642         0.00830795
-0.324642         0.00830795
-0.324642         0.00830795
-0.324642         0.00830795
-0.324642         0.00830795
-0.324642         0.00830795
0.144254         0.0076349
-0.384056         0.00435397
-0.346218         0.00311956
-0.346218         0.00311956
-0.346218         0.00311956
-0.308291         0.00619475
-0.308291         0.00619475
-0.351473         0.0103924
-0.351473         0.0103924
-0.351473         0.0103924
-0.351473         0.0103924
-0.351473         0.0103924
-0.0146569         0.0212048
-0.0146569         0.0212048
-0.089255         0.0131583
-0.089255         0.0131583
-0.089255         0.0131583
0.0246141         0.0184159
0.0246141         0.0184159
0.207597         0.0136648
0.207597         0.0136648
0.0863311         0.0132033
-0.0543132         0.00629424
-0.0543132         0.00629424
-0.0543132         0.00629424
-0.0543132         0.00629424
-0.0543132         0.00629424
-0.0543132         0.00629424
0.255462         0.0188223
0.00901398         0.00742536
0.00901398         0.00742536
0.00901398         0.00742536
0.00901398         0.00742536
0.00901398         0.00742536
0.0462952         0.00873393
-0.304341         0.00698233
-0.304341         0.00698233
-0.304341         0.00698233
-0.304341         0.00698233
-0.304341         0.00698233
-0.289788         0.0109339
-0.319413         0.00321444
-0.415447         0.00352341
-0.407786         0.00426337
-0.407786         0.00426337
-0.260814         0.00373711
-0.370075         0.00486635
-0.370075         0.00486635
-0.370075         0.00486635
-0.370075         0.00486635
-0.261812         0.00545788
-0.261812         0.00545788
-0.261812         0.00545788
-0.252453         0.00774741
-0.252453         0.00774741
-0.246646         0.00535036
-0.22727         0.0109506
-0.22727         0.0109506
-0.22727         0.0109506
-0.229345         0.00538915
-0.234722         0.00516155
-0.234722         0.00516155
-0.227854         0.01103
0.060716         0.00717777
0.060716         0.00717777
0.060716         0.00717777
0.060716         0.00717777
0.060716         0.00717777
0.0687293         0.00772467
-0.247401         0.00770829
-0.26079         0.00762966
-0.26079         0.00762966
-0.24236         0.00841675
-0.248125         0.00866335
-0.248125         0.00866335
-0.248125         0.00866335
-0.240567         0.00630904
-0.227152         0.0110316
-0.225637         0.00482879
-0.225637         0.00482879
-0.225637         0.00482879
-0.251154         0.00672983
-0.215702         0.0105172
-0.234665         0.0051433
-0.304448         0.004308
-0.304448         0.004308
-0.280362         0.00532586
-0.190111         0.0125651
-0.16303         0.0158712
-0.16303         0.0158712
-0.344929         0.00715106
-0.245416         0.00519496
-0.254538         0.00699513
-0.293307         0.00522619
-0.261816         0.0122036
-0.114757         0.0189888
-0.281335         0.00950559
-0.281335         0.00950559
-0.399077         0.00332523
-0.399077         0.00332523
-0.399077         0.00332523
-0.241972         0.0112675
-0.24036         0.0111733
-0.0534884         0.020284
-0.296419         0.00519428
-0.291688         0.00495777
-0.155888         0.0124556
-0.155888         0.0124556
-0.339305         0.00571422
-0.339305         0.00571422
-0.339305         0.00571422
-0.258292         0.00554006
-0.245155         0.00553512
-0.246924         0.00673184
-0.246888         0.00727204
-0.230955         0.0051163
-0.287819         0.00396328
-0.287819         0.00396328
-0.25984         0.00526948
-0.203276         0.00590674
0.0936472         0.00675873
0.0936472         0.00675873
0.0936472         0.00675873
0.0936472         0.00675873
0.0936472         0.00675873
0.0936472         0.00675873
0.00881118         0.00679153
0.00881118         0.00679153
0.00881118         0.00679153
-0.00570999         0.00628964
-0.224478         0.0049951
-0.241166         0.00949836
-0.372901         0.00648409
-0.372901         0.00648409
-0.372901         0.00648409
-0.372901         0.00648409
-0.372901         0.00648409
-0.372901         0.00648409
-0.372901         0.00648409
-0.372901         0.00648409
-0.430593         0.00298755
-0.430593         0.00298755
-0.417024         0.00309247
-0.417024         0.00309247
-0.417024         0.00309247
-0.417024         0.00309247
-0.427637         0.00308213
-0.427637         0.00308213
-0.427637         0.00308213
-0.427637         0.00308213
-0.427637         0.00308213
-0.427637         0.00308213
-0.399513         0.00407623
-0.399513         0.00407623
-0.300627         0.00380316
-0.328872         0.00849084
-0.328872         0.00849084
-0.400609         0.00256995
-0.400609         0.00256995
-0.400609         0.00256995
-0.400609         0.00256995
-0.298365         0.00501243
-0.298365         0.00501243
-0.285002         0.00456286
-0.208658         0.00515073
-0.35013         0.00407273
-0.35013         0.00407273
-0.422628         0.00454434
-0.423642         0.00389863
-0.37987         0.00321972
-0.37987         0.00321972
-0.336854         0.00345592
-0.329542         0.00655585
-0.350265         0.00899938
-0.350265         0.00899938
-0.337254         0.00626942
-0.260848         0.0100339
-0.162136         0.0169038
