#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         308     1.17346     1.49406    0.022567
         309      1.1737     1.49303   0.0225178
         310     1.17395       1.492   0.0224686
         311      1.1742     1.49098   0.0224196
         312     1.17444     1.48996   0.0223707
         313      1.1747     1.48896   0.0223219
         314     1.17495     1.48796   0.0222732
         315     1.17522     1.48696   0.0222246
         316     1.17549     1.48598   0.0221761
         317     1.17577       1.485   0.0221277
         318     1.17606     1.48403   0.0220795
         319     1.17636     1.48306   0.0220313
         320     1.17668      1.4821   0.0219833
         321       1.177     1.48115   0.0219353
         322     1.17734     1.48021   0.0218875
         323     1.17769     1.47927   0.0218397
         324     1.17806     1.47834   0.0217921
         325     1.17845     1.47742   0.0217446
         326     1.17884     1.47651   0.0216972
         327     1.17926      1.4756   0.0216499
         328     1.17968     1.47469   0.0216026
         329     1.18013      1.4738   0.0215555
         330     1.18058     1.47291   0.0215085
         331     1.18105     1.47203   0.0214616
         332     1.18153     1.47115   0.0214148
         333     1.18202     1.47029   0.0213681
         334     1.18252     1.46942   0.0213215
         335     1.18302     1.46857   0.0212749
         336     1.18353     1.46772   0.0212285
         337     1.18405     1.46688   0.0211822
         338     1.18457     1.46604    0.021136
         339     1.18508     1.46522   0.0210899
         340      1.1856     1.46439   0.0210439
         341     1.18611     1.46358    0.020998
         342     1.18661     1.46277   0.0209522
         343     1.18711     1.46196   0.0209065
         344     1.18759     1.46117    0.020861
         345     1.18805     1.46037   0.0208155
         346      1.1885     1.45959   0.0207702
         347     1.18893     1.45881    0.020725
         348     1.18933     1.45803   0.0206799
         349     1.18971     1.45726   0.0206349
         350     1.19007      1.4565   0.0205901
         351     1.19039     1.45574   0.0205454
         352     1.19068     1.45499   0.0205008
         353     1.19094     1.45424   0.0204564
         354     1.19116      1.4535   0.0204121
         355     1.19135     1.45276   0.0203679
         356      1.1915     1.45203   0.0203239
         357      1.1916      1.4513   0.0202801
         358     1.19167     1.45057   0.0202364
         359      1.1917     1.44985   0.0201929
         360     1.19168     1.44913   0.0201495
         361     1.19163     1.44842   0.0201063
         362     1.19152     1.44771   0.0200633
         363     1.19138       1.447   0.0200204
         364     1.19119      1.4463   0.0199778
         365     1.19096      1.4456   0.0199353
         366     1.19069     1.44491    0.019893
         367     1.19038     1.44421   0.0198509
         368     1.19003     1.44352   0.0198089
         369     1.18964     1.44283   0.0197672
         370     1.18921     1.44215   0.0197257
         371     1.18875     1.44147   0.0196843
         372     1.18825     1.44078   0.0196432
         373     1.18771     1.44011   0.0196022
         374     1.18715     1.43943   0.0195615
         375     1.18655     1.43876   0.0195209
         376     1.18593     1.43808   0.0194806
         377     1.18528     1.43741   0.0194404
         378     1.18461     1.43674   0.0194005
         379     1.18392     1.43608   0.0193608
         380      1.1832     1.43541   0.0193213
         381     1.18247     1.43475    0.019282
         382     1.18173     1.43408   0.0192429
         383     1.18097     1.43342    0.019204
         384      1.1802     1.43276   0.0191653
         385     1.17943     1.43211   0.0191268
         386     1.17865     1.43145   0.0190885
         387     1.17786     1.43079   0.0190504
         388     1.17708     1.43014   0.0190125
         389     1.17629     1.42949   0.0189749
         390     1.17551     1.42884   0.0189374
         391     1.17473     1.42819   0.0189001
         392     1.17395     1.42754    0.018863
         393     1.17319     1.42689   0.0188261
         394     1.17244     1.42625   0.0187894
         395     1.17169      1.4256   0.0187529
         396     1.17096     1.42496   0.0187165
         397     1.17025     1.42432   0.0186804
         398     1.16955     1.42368   0.0186444
         399     1.16887     1.42304   0.0186086
         400     1.16821      1.4224    0.018573
         401     1.16757     1.42177   0.0185376
         402     1.16696     1.42113   0.0185023
         403     1.16636      1.4205   0.0184672
         404     1.16579     1.41987   0.0184322
         405     1.16525     1.41924   0.0183974
         406     1.16473     1.41861   0.0183628
         407     1.16424     1.41799   0.0183283
         408     1.16378     1.41736    0.018294
         409     1.16334     1.41674   0.0182598
         410     1.16294     1.41612   0.0182257
         411     1.16256     1.41551   0.0181918
         412     1.16222     1.41489   0.0181581
         413     1.16191     1.41428   0.0181244
         414     1.16163     1.41367   0.0180909
         415     1.16138     1.41306   0.0180575
         416     1.16117     1.41246   0.0180243
         417     1.16099     1.41185   0.0179911
         418     1.16085     1.41125   0.0179581
         419     1.16075     1.41066   0.0179252
         420     1.16068     1.41006   0.0178924
         421     1.16065     1.40947   0.0178597
         422     1.16066     1.40888   0.0178271
         423     1.16071     1.40829   0.0177946
         424     1.16081     1.40771   0.0177622
         425     1.16094     1.40713   0.0177299
         426     1.16112     1.40655   0.0176977
         427     1.16134     1.40598   0.0176656
         428     1.16161      1.4054   0.0176335
         429     1.16193     1.40484   0.0176015
         430     1.16229     1.40427   0.0175696
         431      1.1627     1.40371   0.0175378
         432     1.16316     1.40316   0.0175061
         433     1.16368      1.4026   0.0174744
         434     1.16424     1.40205   0.0174427
         435     1.16486     1.40151   0.0174111
         436     1.16553     1.40097   0.0173796
         437     1.16626     1.40043   0.0173481
         438     1.16705      1.3999   0.0173167
         439     1.16789     1.39937   0.0172853
         440     1.16879     1.39884    0.017254
         441     1.16974     1.39832   0.0172227
         442     1.17076     1.39781   0.0171914
         443     1.17183      1.3973   0.0171602
         444     1.17296     1.39679    0.017129
         445     1.17414     1.39629   0.0170978
         446     1.17539      1.3958   0.0170666
         447     1.17669     1.39531   0.0170355
         448     1.17804     1.39482   0.0170044
         449     1.17945     1.39434   0.0169732
         450     1.18091     1.39387   0.0169422
         451     1.18243      1.3934   0.0169111
         452     1.18399     1.39294     0.01688
         453      1.1856     1.39248   0.0168489
         454     1.18725     1.39203   0.0168179
         455     1.18895     1.39158   0.0167869
         456     1.19069     1.39114   0.0167558
         457     1.19246     1.39071   0.0167248
         458     1.19427     1.39028   0.0166938
         459     1.19611     1.38985   0.0166628
         460     1.19798     1.38944   0.0166318
         461     1.19988     1.38903   0.0166008
         462     1.20179     1.38862   0.0165698
         463     1.20373     1.38822   0.0165388
         464     1.20567     1.38783   0.0165078
         465     1.20763     1.38744   0.0164769
         466     1.20959     1.38706   0.0164459
         467     1.21156     1.38668    0.016415
         468     1.21353     1.38631   0.0163841
         469     1.21549     1.38595   0.0163532
         470     1.21744     1.38559   0.0163224
         471     1.21938     1.38524   0.0162915
         472     1.22131     1.38489   0.0162607
         473     1.22322     1.38455   0.0162299
         474      1.2251     1.38421   0.0161992
         475     1.22696     1.38388   0.0161685
         476      1.2288     1.38356   0.0161378
         477      1.2306     1.38323   0.0161071
         478     1.23237     1.38292   0.0160765
         479     1.23411     1.38261    0.016046
         480     1.23581      1.3823   0.0160154
         481     1.23747       1.382    0.015985
         482     1.23909      1.3817   0.0159546
         483     1.24066     1.38141   0.0159242
         484     1.24219     1.38113   0.0158939
         485     1.24368     1.38084   0.0158637
         486     1.24512     1.38056   0.0158335
         487     1.24651     1.38029   0.0158033
         488     1.24785     1.38002   0.0157733
         489     1.24914     1.37975   0.0157433
         490     1.25039     1.37948   0.0157134
         491     1.25158     1.37922   0.0156835
         492     1.25272     1.37897   0.0156538
         493     1.25382     1.37871   0.0156241
         494     1.25486     1.37846   0.0155945
         495     1.25586     1.37821   0.0155649
         496      1.2568     1.37797   0.0155355
         497      1.2577     1.37773   0.0155061
         498     1.25855     1.37749   0.0154768
         499     1.25935     1.37725   0.0154476
         500      1.2601     1.37702   0.0154185
         501     1.26081     1.37679   0.0153895
         502     1.26147     1.37656   0.0153605
         503     1.26209     1.37633   0.0153317
         504     1.26267      1.3761   0.0153029
         505     1.26321     1.37588   0.0152742
         506      1.2637     1.37566   0.0152457
         507     1.26416     1.37544   0.0152172
         508     1.26458     1.37522   0.0151888
         509     1.26495       1.375   0.0151605
         510      1.2653     1.37479   0.0151323
         511     1.26561     1.37457   0.0151042
         512     1.26588     1.37436   0.0150762
         513     1.26612     1.37415   0.0150483
         514     1.26634     1.37394   0.0150204
         515     1.26652     1.37373   0.0149927
         516     1.26667     1.37352   0.0149651
         517     1.26679     1.37332   0.0149376
         518     1.26689     1.37311   0.0149102
         519     1.26696     1.37291   0.0148828
         520       1.267      1.3727   0.0148556
         521     1.26703      1.3725   0.0148285
         522     1.26703      1.3723   0.0148014
         523     1.26701      1.3721   0.0147745
         524     1.26696      1.3719   0.0147477
         525      1.2669      1.3717   0.0147209
         526     1.26682      1.3715   0.0146943
         527     1.26673      1.3713   0.0146678
         528     1.26661      1.3711   0.0146413
         529     1.26648      1.3709    0.014615
         530     1.26634     1.37071   0.0145887
         531     1.26618     1.37051   0.0145626
         532       1.266     1.37031   0.0145366
         533     1.26581     1.37012   0.0145106
         534     1.26561     1.36992   0.0144847
         535      1.2654     1.36973    0.014459
         536     1.26518     1.36953   0.0144333
         537     1.26494     1.36934   0.0144078
         538     1.26469     1.36914   0.0143823
         539     1.26444     1.36895   0.0143569
         540     1.26417     1.36875   0.0143317
         541     1.26389     1.36856   0.0143065
         542     1.26361     1.36837   0.0142814
         543     1.26331     1.36817   0.0142564
         544     1.26301     1.36798   0.0142315
         545     1.26269     1.36779   0.0142067
         546     1.26237     1.36759    0.014182
         547     1.26204      1.3674   0.0141574
         548      1.2617     1.36721   0.0141329
         549     1.26135     1.36701   0.0141084
         550       1.261     1.36682   0.0140841
         551     1.26063     1.36663   0.0140598
         552     1.26026     1.36644   0.0140357
         553     1.25987     1.36624   0.0140116
         554     1.25948     1.36605   0.0139877
         555     1.25908     1.36586   0.0139638
         556     1.25867     1.36566     0.01394
         557     1.25825     1.36547   0.0139163
         558     1.25782     1.36528   0.0138927
         559     1.25738     1.36509   0.0138692
         560     1.25693     1.36489   0.0138458
         561     1.25647      1.3647   0.0138225
         562       1.256     1.36451   0.0137992
         563     1.25551     1.36431   0.0137761
         564     1.25501     1.36412    0.013753
         565     1.25451     1.36392     0.01373
         566     1.25398     1.36373   0.0137071
         567     1.25345     1.36354   0.0136843
         568      1.2529     1.36334   0.0136616
         569     1.25233     1.36315    0.013639
         570     1.25175     1.36295   0.0136165
         571     1.25116     1.36275   0.0135941
         572     1.25055     1.36256   0.0135717
         573     1.24992     1.36236   0.0135494
         574     1.24928     1.36217   0.0135273
         575     1.24862     1.36197   0.0135052
         576     1.24794     1.36177   0.0134832
         577     1.24724     1.36157   0.0134613
         578     1.24652     1.36137   0.0134395
         579     1.24579     1.36117   0.0134177
         580     1.24504     1.36097   0.0133961
         581     1.24426     1.36077   0.0133745
         582     1.24347     1.36057   0.0133531
         583     1.24266     1.36037   0.0133317
         584     1.24182     1.36016   0.0133104
         585     1.24097     1.35996   0.0132892
         586      1.2401     1.35976   0.0132681
         587      1.2392     1.35955   0.0132471
         588     1.23829     1.35934   0.0132262
         589     1.23736     1.35914   0.0132054
