#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         320     1.76501     2.22316   0.0329749
         321      1.7655     2.22173    0.032903
         322     1.76601     2.22032   0.0328312
         323     1.76654     2.21891   0.0327596
         324     1.76709     2.21752   0.0326882
         325     1.76767     2.21613   0.0326169
         326     1.76827     2.21476   0.0325458
         327     1.76888      2.2134   0.0324748
         328     1.76953     2.21204    0.032404
         329     1.77019      2.2107   0.0323333
         330     1.77087     2.20937   0.0322628
         331     1.77157     2.20804   0.0321924
         332     1.77229     2.20673   0.0321222
         333     1.77303     2.20543   0.0320521
         334     1.77377     2.20414   0.0319822
         335     1.77453     2.20285   0.0319124
         336      1.7753     2.20158   0.0318428
         337     1.77607     2.20032   0.0317733
         338     1.77685     2.19907    0.031704
         339     1.77763     2.19782   0.0316349
         340      1.7784     2.19659   0.0315659
         341     1.77917     2.19536    0.031497
         342     1.77992     2.19415   0.0314283
         343     1.78066     2.19294   0.0313598
         344     1.78138     2.19175   0.0312915
         345     1.78208     2.19056   0.0312233
         346     1.78275     2.18938   0.0311553
         347     1.78339     2.18821   0.0310875
         348       1.784     2.18705   0.0310198
         349     1.78457      2.1859   0.0309524
         350      1.7851     2.18475   0.0308851
         351     1.78558     2.18361   0.0308181
         352     1.78602     2.18249   0.0307512
         353     1.78641     2.18136   0.0306845
         354     1.78674     2.18025   0.0306181
         355     1.78702     2.17914   0.0305519
         356     1.78724     2.17804   0.0304859
         357     1.78741     2.17695   0.0304201
         358     1.78751     2.17586   0.0303546
         359     1.78755     2.17478   0.0302893
         360     1.78752      2.1737   0.0302243
         361     1.78744     2.17263   0.0301595
         362     1.78729     2.17157   0.0300949
         363     1.78707     2.17051   0.0300307
         364     1.78679     2.16945   0.0299667
         365     1.78645      2.1684   0.0299029
         366     1.78604     2.16736   0.0298395
         367     1.78557     2.16632   0.0297763
         368     1.78505     2.16528   0.0297134
         369     1.78446     2.16425   0.0296508
         370     1.78382     2.16322   0.0295885
         371     1.78312      2.1622   0.0295265
         372     1.78237     2.16118   0.0294647
         373     1.78157     2.16016   0.0294033
         374     1.78072     2.15914   0.0293422
         375     1.77983     2.15813   0.0292814
         376      1.7789     2.15712   0.0292209
         377     1.77792     2.15612   0.0291607
         378     1.77691     2.15512   0.0291008
         379     1.77587     2.15411   0.0290412
         380      1.7748     2.15312   0.0289819
         381     1.77371     2.15212   0.0289229
         382     1.77259     2.15113   0.0288643
         383     1.77146     2.15014   0.0288059
         384     1.77031     2.14915   0.0287479
         385     1.76914     2.14816   0.0286902
         386     1.76797     2.14717   0.0286328
         387     1.76679     2.14619   0.0285756
         388     1.76561     2.14521   0.0285188
