#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
        5036     1.40971     1.32843  0.00101687
        5037     1.40986     1.32844  0.00101679
        5038     1.41001     1.32846  0.00101672
        5039     1.41017     1.32848  0.00101665
        5040     1.41032     1.32849  0.00101658
        5041     1.41046     1.32851   0.0010165
        5042     1.41061     1.32852  0.00101643
        5043     1.41076     1.32854  0.00101636
        5044     1.41091     1.32856  0.00101629
        5045     1.41105     1.32857  0.00101622
        5046      1.4112     1.32859  0.00101615
        5047     1.41134     1.32861  0.00101608
        5048     1.41148     1.32862  0.00101602
        5049     1.41163     1.32864  0.00101595
        5050     1.41177     1.32866  0.00101588
        5051     1.41191     1.32867  0.00101581
        5052     1.41205     1.32869  0.00101574
        5053     1.41219     1.32871  0.00101568
        5054     1.41232     1.32872  0.00101561
        5055     1.41246     1.32874  0.00101555
        5056      1.4126     1.32876  0.00101548
        5057     1.41273     1.32877  0.00101542
        5058     1.41287     1.32879  0.00101535
        5059       1.413     1.32881  0.00101529
        5060     1.41313     1.32882  0.00101522
        5061     1.41326     1.32884  0.00101516
        5062     1.41339     1.32886   0.0010151
        5063     1.41352     1.32887  0.00101503
        5064     1.41365     1.32889  0.00101497
        5065     1.41378     1.32891  0.00101491
        5066      1.4139     1.32892  0.00101485
        5067     1.41403     1.32894  0.00101479
        5068     1.41415     1.32896  0.00101472
        5069     1.41427     1.32897  0.00101466
        5070     1.41439     1.32899   0.0010146
        5071     1.41451     1.32901  0.00101454
        5072     1.41463     1.32902  0.00101448
        5073     1.41475     1.32904  0.00101443
        5074     1.41486     1.32906  0.00101437
        5075     1.41498     1.32907  0.00101431
        5076     1.41509     1.32909  0.00101425
        5077      1.4152     1.32911  0.00101419
        5078     1.41531     1.32912  0.00101413
        5079     1.41542     1.32914  0.00101408
        5080     1.41553     1.32916  0.00101402
        5081     1.41564     1.32918  0.00101396
        5082     1.41574     1.32919  0.00101391
        5083     1.41585     1.32921  0.00101385
        5084     1.41595     1.32923  0.00101379
        5085     1.41605     1.32924  0.00101374
        5086     1.41615     1.32926  0.00101368
        5087     1.41625     1.32928  0.00101363
        5088     1.41635      1.3293  0.00101357
        5089     1.41644     1.32931  0.00101352
        5090     1.41654     1.32933  0.00101346
        5091     1.41663     1.32935  0.00101341
        5092     1.41672     1.32936  0.00101336
        5093     1.41681     1.32938   0.0010133
        5094      1.4169      1.3294  0.00101325
        5095     1.41699     1.32942   0.0010132
        5096     1.41707     1.32943  0.00101314
        5097     1.41716     1.32945  0.00101309
        5098     1.41724     1.32947  0.00101304
        5099     1.41732     1.32948  0.00101299
        5100      1.4174      1.3295  0.00101294
        5101     1.41748     1.32952  0.00101288
        5102     1.41756     1.32954  0.00101283
        5103     1.41763     1.32955  0.00101278
        5104     1.41771     1.32957  0.00101273
        5105     1.41778     1.32959  0.00101268
        5106     1.41785     1.32961  0.00101263
        5107     1.41792     1.32962  0.00101258
        5108     1.41799     1.32964  0.00101253
        5109     1.41806     1.32966  0.00101248
        5110     1.41813     1.32967  0.00101243
        5111     1.41819     1.32969  0.00101238
        5112     1.41826     1.32971  0.00101233
        5113     1.41832     1.32973  0.00101228
        5114     1.41838     1.32974  0.00101223
