#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         374     1.65377     1.65122 5.76115e-05
         375     1.65379     1.65122 5.78664e-05
         376     1.65382     1.65123  5.8122e-05
         377     1.65384     1.65124  5.8378e-05
         378     1.65386     1.65124 5.86347e-05
         379     1.65388     1.65125 5.88919e-05
         380      1.6539     1.65126 5.91496e-05
         381     1.65393     1.65126 5.94079e-05
         382     1.65395     1.65127 5.96668e-05
         383     1.65397     1.65128 5.99262e-05
         384     1.65399     1.65129 6.01862e-05
         385     1.65402     1.65129 6.04467e-05
         386     1.65404      1.6513 6.07078e-05
         387     1.65406     1.65131 6.09695e-05
         388     1.65409     1.65131 6.12318e-05
         389     1.65411     1.65132 6.14946e-05
         390     1.65413     1.65133 6.17579e-05
         391     1.65416     1.65134 6.20218e-05
         392     1.65418     1.65134 6.22863e-05
         393      1.6542     1.65135 6.25514e-05
         394     1.65423     1.65136  6.2817e-05
         395     1.65425     1.65136 6.30832e-05
         396     1.65427     1.65137   6.335e-05
         397      1.6543     1.65138 6.36173e-05
         398     1.65432     1.65139 6.38853e-05
         399     1.65434     1.65139 6.41537e-05
         400     1.65437      1.6514 6.44228e-05
         401     1.65439     1.65141 6.46925e-05
         402     1.65442     1.65142 6.49627e-05
         403     1.65444     1.65142 6.52335e-05
         404     1.65447     1.65143 6.55049e-05
         405     1.65449     1.65144 6.57768e-05
         406     1.65451     1.65145 6.60494e-05
         407     1.65454     1.65145 6.63225e-05
         408     1.65456     1.65146 6.65962e-05
         409     1.65459     1.65147 6.68705e-05
         410     1.65461     1.65148 6.71454e-05
         411     1.65464     1.65149 6.74209e-05
         412     1.65466     1.65149  6.7697e-05
         413     1.65469      1.6515 6.79736e-05
         414     1.65471     1.65151 6.82509e-05
         415     1.65474     1.65152 6.85287e-05
         416     1.65476     1.65152 6.88072e-05
         417     1.65479     1.65153 6.90862e-05
         418     1.65481     1.65154 6.93658e-05
         419     1.65484     1.65155  6.9646e-05
         420     1.65487     1.65156 6.99269e-05
         421     1.65489     1.65156 7.02083e-05
         422     1.65492     1.65157 7.04903e-05
         423     1.65494     1.65158 7.07729e-05
         424     1.65497     1.65159 7.10562e-05
         425       1.655      1.6516   7.134e-05
         426     1.65502      1.6516 7.16244e-05
         427     1.65505     1.65161 7.19095e-05
         428     1.65507     1.65162 7.21951e-05
         429      1.6551     1.65163 7.24814e-05
         430     1.65513     1.65164 7.27682e-05
         431     1.65515     1.65164 7.30557e-05
         432     1.65518     1.65165 7.33438e-05
         433     1.65521     1.65166 7.36325e-05
         434     1.65523     1.65167 7.39218e-05
         435     1.65526     1.65168 7.42118e-05
         436     1.65529     1.65169 7.45023e-05
         437     1.65532     1.65169 7.47935e-05
         438     1.65534      1.6517 7.50852e-05
         439     1.65537     1.65171 7.53776e-05
         440      1.6554     1.65172 7.56706e-05
         441     1.65542     1.65173 7.59643e-05
         442     1.65545     1.65174 7.62585e-05
         443     1.65548     1.65174 7.65534e-05
         444     1.65551     1.65175 7.68489e-05
         445     1.65554     1.65176 7.71451e-05
         446     1.65556     1.65177 7.74418e-05
         447     1.65559     1.65178 7.77392e-05
         448     1.65562     1.65179 7.80373e-05
         449     1.65565      1.6518  7.8336e-05
         450     1.65568      1.6518 7.86353e-05
         451      1.6557     1.65181 7.89352e-05
         452     1.65573     1.65182 7.92358e-05
         453     1.65576     1.65183  7.9537e-05
         454     1.65579     1.65184 7.98389e-05
         455     1.65582     1.65185 8.01414e-05
         456     1.65585     1.65186 8.04446e-05
         457     1.65588     1.65186 8.07484e-05
         458     1.65591     1.65187 8.10528e-05
         459     1.65594     1.65188 8.13579e-05
         460     1.65596     1.65189 8.16637e-05
         461     1.65599      1.6519 8.19701e-05
         462     1.65602     1.65191 8.22771e-05
         463     1.65605     1.65192 8.25848e-05
         464     1.65608     1.65193 8.28932e-05
         465     1.65611     1.65194 8.32022e-05
         466     1.65614     1.65195 8.35119e-05
         467     1.65617     1.65195 8.38222e-05
         468      1.6562     1.65196 8.41332e-05
         469     1.65623     1.65197 8.44449e-05
         470     1.65626     1.65198 8.47572e-05
         471     1.65629     1.65199 8.50702e-05
         472     1.65632       1.652 8.53838e-05
         473     1.65635     1.65201 8.56981e-05
         474     1.65638     1.65202 8.60131e-05
         475     1.65642     1.65203 8.63287e-05
         476     1.65645     1.65204 8.66451e-05
         477     1.65648     1.65205  8.6962e-05
         478     1.65651     1.65206 8.72797e-05
         479     1.65654     1.65206  8.7598e-05
         480     1.65657     1.65207  8.7917e-05
         481      1.6566     1.65208 8.82367e-05
         482     1.65663     1.65209 8.85571e-05
