#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         300     1.29972     1.37197   0.0329508
         301     1.30275     1.37174   0.0328421
         302     1.30576     1.37152   0.0327341
         303     1.30877     1.37131   0.0326267
         304     1.31176     1.37112     0.03252
         305     1.31474     1.37093   0.0324139
         306      1.3177     1.37076   0.0323084
         307     1.32064      1.3706   0.0322036
         308     1.32356     1.37044   0.0320994
         309     1.32645      1.3703   0.0319958
         310     1.32932     1.37017   0.0318929
         311     1.33217     1.37005   0.0317906
         312     1.33498     1.36993   0.0316889
         313     1.33777     1.36983   0.0315878
         314     1.34052     1.36974   0.0314873
         315     1.34324     1.36965   0.0313875
         316     1.34592     1.36958   0.0312882
         317     1.34857     1.36951   0.0311896
         318     1.35118     1.36945   0.0310916
         319     1.35374     1.36941   0.0309942
         320     1.35627     1.36936   0.0308973
         321     1.35875     1.36933   0.0308011
         322     1.36119     1.36931   0.0307054
         323     1.36358     1.36929   0.0306104
         324     1.36592     1.36928   0.0305159
         325     1.36822     1.36927    0.030422
         326     1.37046     1.36928   0.0303287
         327     1.37266     1.36929   0.0302359
         328      1.3748     1.36931   0.0301438
         329     1.37688     1.36933   0.0300522
         330     1.37892     1.36936   0.0299611
         331      1.3809     1.36939   0.0298706
         332     1.38282     1.36943   0.0297807
         333     1.38468     1.36948   0.0296913
         334     1.38649     1.36953   0.0296024
         335     1.38824     1.36959   0.0295141
         336     1.38993     1.36965   0.0294263
         337     1.39156     1.36971   0.0293391
         338     1.39313     1.36978   0.0292524
         339     1.39463     1.36985   0.0291662
         340     1.39608     1.36993   0.0290805
         341     1.39746     1.37001   0.0289953
         342     1.39877      1.3701   0.0289107
         343     1.40003     1.37018   0.0288265
         344     1.40122     1.37027   0.0287428
         345     1.40234     1.37037   0.0286597
         346      1.4034     1.37046    0.028577
         347      1.4044     1.37056   0.0284948
         348     1.40534     1.37066   0.0284131
         349     1.40621     1.37076   0.0283319
         350     1.40702     1.37086   0.0282511
         351     1.40777     1.37097   0.0281708
         352     1.40845     1.37108    0.028091
         353     1.40907     1.37118   0.0280116
         354     1.40963     1.37129   0.0279327
         355     1.41013      1.3714   0.0278542
         356     1.41057     1.37151   0.0277762
         357     1.41095     1.37162   0.0276986
         358     1.41126     1.37173   0.0276215
         359     1.41151     1.37184   0.0275448
         360     1.41171     1.37195   0.0274685
         361     1.41184     1.37206   0.0273926
