#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         431     0.84985    0.864546   0.0145515
         432    0.848749     0.86451   0.0145178
         433    0.847646    0.864471   0.0144844
         434    0.846543    0.864429   0.0144511
         435     0.84544    0.864386   0.0144179
         436    0.844337     0.86434   0.0143849
         437    0.843237    0.864291   0.0143521
         438    0.842138    0.864241   0.0143194
         439    0.841042    0.864188   0.0142869
         440     0.83995    0.864133   0.0142545
         441    0.838862    0.864076   0.0142223
         442    0.837778    0.864016   0.0141902
         443    0.836701    0.863954   0.0141583
         444     0.83563    0.863891   0.0141266
         445    0.834567    0.863825    0.014095
         446    0.833512    0.863757   0.0140636
         447    0.832465    0.863687   0.0140323
         448    0.831427    0.863615   0.0140011
         449      0.8304    0.863541   0.0139702
         450    0.829385    0.863465   0.0139393
         451    0.828381    0.863387   0.0139086
         452    0.827391    0.863307   0.0138781
         453    0.826416    0.863226   0.0138477
         454    0.825455    0.863143   0.0138174
         455     0.82451    0.863058   0.0137873
         456    0.823581    0.862971   0.0137574
         457    0.822668    0.862883   0.0137275
         458    0.821773    0.862793   0.0136979
         459    0.820895    0.862702   0.0136683
         460    0.820037    0.862609   0.0136389
         461    0.819198    0.862515   0.0136097
         462     0.81838     0.86242   0.0135805
         463    0.817583    0.862323   0.0135516
         464     0.81681    0.862225   0.0135227
         465    0.816059    0.862125    0.013494
         466     0.81533    0.862025   0.0134654
         467    0.814625    0.861924    0.013437
         468    0.813947    0.861821   0.0134086
         469    0.813294    0.861718   0.0133804
         470    0.812666    0.861613   0.0133524
         471    0.812063    0.861508   0.0133244
         472    0.811486    0.861402   0.0132966
         473    0.810936    0.861295    0.013269
         474    0.810412    0.861188   0.0132414
         475    0.809916     0.86108    0.013214
         476    0.809447    0.860972   0.0131866
         477    0.809006    0.860863   0.0131594
         478    0.808592    0.860753   0.0131324
         479    0.808207    0.860644   0.0131054
         480    0.807849    0.860534   0.0130786
         481    0.807519    0.860423   0.0130518
         482    0.807216    0.860313   0.0130252
         483    0.806941    0.860202   0.0129987
         484    0.806694    0.860092   0.0129723
         485    0.806474    0.859981   0.0129461
         486    0.806281    0.859871   0.0129199
         487    0.806116     0.85976   0.0128938
         488    0.805978     0.85965   0.0128679
         489    0.805867     0.85954   0.0128421
         490    0.805783    0.859431   0.0128163
         491    0.805727    0.859321   0.0127907
         492    0.805698    0.859212   0.0127651
         493    0.805697    0.859104   0.0127397
         494    0.805724    0.858996   0.0127144
         495    0.805779    0.858888   0.0126892
         496     0.80586    0.858781    0.012664
         497    0.805969    0.858675    0.012639
         498    0.806104    0.858569    0.012614
         499    0.806267    0.858465   0.0125892
         500    0.806456     0.85836   0.0125645
         501    0.806673    0.858257   0.0125398
         502    0.806916    0.858155   0.0125152
         503    0.807186    0.858054   0.0124908
         504    0.807484    0.857953   0.0124664
         505    0.807811    0.857854   0.0124421
